land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-73ce66b5-1,2021,Open Shrublands,Grassland,Cold Evergreen Needleleaf Forest,YT-MAIN-73ce66b5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-116ae608-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cool Evergreen Needleleaf Forest,BC-MAIN-116ae608,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-dca9cce7-1,2021,Water,Built-up,,ON-MAIN-dca9cce7,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d5c9124e-1,2021,Urban & Built-up,Built-up,Steppe,SK-MAIN-d5c9124e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c4fb59c2-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-c4fb59c2,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1186a6d0-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,QC-MAIN-1186a6d0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-dc1a16f9-1,2021,Woody Savannas,Built-up,,QC-MAIN-dc1a16f9,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b7591127-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-b7591127,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4959ea63-1,2021,Evergreen Needleleaf Forest,Tree Cover,Low and High Shrub Tundra,BC-MAIN-4959ea63,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-03a159d7-1,2021,Open Shrublands,Moss & Lichen,Low and High Shrub Tundra,YT-MAIN-03a159d7,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d3a4aba9-1,2021,Urban & Built-up,Built-up,Cold Evergreen Needleleaf Forest,AB-MAIN-d3a4aba9,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f4fc3276-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,ON-MAIN-f4fc3276,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-915d9faa-1,2021,Woody Savannas,Grassland,Cool Mixed Forest,MB-MAIN-915d9faa,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b1fe389a-1,2021,Evergreen Needleleaf Forest,Moss & Lichen,Low and High Shrub Tundra,BC-MAIN-b1fe389a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1d2f31f9-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-1d2f31f9,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-bb23d8a6-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,NL-MAIN-bb23d8a6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-22ce14be-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,SK-MAIN-22ce14be,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-29afbdb5-1,2021,Woody Savannas,Built-up,,SK-MAIN-29afbdb5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c9c77a59-1,2021,Mixed Forests,Permanent Water Bodies,Cool Mixed Forest,NS-MAIN-c9c77a59,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-020a683c-1,2021,Water,Built-up,Cool Mixed Forest,ON-MAIN-020a683c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b2e5c9bb-1,2021,Urban & Built-up,Tree Cover,Cool Mixed Forest,ON-MAIN-b2e5c9bb,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3032c251-1,2021,Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,QC-MAIN-3032c251,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b5937543-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-b5937543,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-64595b02-1,2021,Mixed Forests,Bare/Sparse Vegetation,Cool Mixed Forest,QC-MAIN-64595b02,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-a505d25d-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-a505d25d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c5d1b42d-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Evergreen Needleleaf Forest,BC-MAIN-c5d1b42d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
