climate_category_id,year,scenario,category,main_id,source_id
CC-c06904f0-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-c06904f0,https://doi.org/10.1038/s41597-023-02549-6
CC-64bbe7e6-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-64bbe7e6,https://doi.org/10.1038/s41597-023-02549-6
CC-22426144-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-22426144,https://doi.org/10.1038/s41597-023-02549-6
CC-0d5c2cae-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-0d5c2cae,https://doi.org/10.1038/s41597-023-02549-6
CC-92cdea80-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-92cdea80,https://doi.org/10.1038/s41597-023-02549-6
CC-bddeaef0-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-bddeaef0,https://doi.org/10.1038/s41597-023-02549-6
CC-b4ca1426-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-b4ca1426,https://doi.org/10.1038/s41597-023-02549-6
CC-21b6ab35-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-21b6ab35,https://doi.org/10.1038/s41597-023-02549-6
CC-de3d8b7b-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-de3d8b7b,https://doi.org/10.1038/s41597-023-02549-6
CC-529c96b4-1991_2020-historical-1,1991_2020,historical,"Dfa - Cold, no dry season, hot summer",QC-MAIN-529c96b4,https://doi.org/10.1038/s41597-023-02549-6
CC-206041d1-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-206041d1,https://doi.org/10.1038/s41597-023-02549-6
CC-abb3e1c7-1991_2020-historical-1,1991_2020,historical,"Dfa - Cold, no dry season, hot summer",QC-MAIN-abb3e1c7,https://doi.org/10.1038/s41597-023-02549-6
CC-30c1828c-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-30c1828c,https://doi.org/10.1038/s41597-023-02549-6
CC-f8313ebd-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-f8313ebd,https://doi.org/10.1038/s41597-023-02549-6
CC-fcb287a4-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-fcb287a4,https://doi.org/10.1038/s41597-023-02549-6
CC-319e04a8-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-319e04a8,https://doi.org/10.1038/s41597-023-02549-6
CC-a97821c0-1991_2020-historical-1,1991_2020,historical,"ET - Polar, tundra",QC-MAIN-a97821c0,https://doi.org/10.1038/s41597-023-02549-6
CC-ed85ac94-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-ed85ac94,https://doi.org/10.1038/s41597-023-02549-6
CC-40ce0593-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-40ce0593,https://doi.org/10.1038/s41597-023-02549-6
CC-4724f4ba-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",BC-MAIN-4724f4ba,https://doi.org/10.1038/s41597-023-02549-6
CC-956d050a-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",YT-MAIN-956d050a,https://doi.org/10.1038/s41597-023-02549-6
CC-97ee890f-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-97ee890f,https://doi.org/10.1038/s41597-023-02549-6
CC-27a90834-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-27a90834,https://doi.org/10.1038/s41597-023-02549-6
CC-fbe28fef-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",SK-MAIN-fbe28fef,https://doi.org/10.1038/s41597-023-02549-6
CC-b031959a-1991_2020-historical-1,1991_2020,historical,"Dsc - Cold, dry summer, cold summer",BC-MAIN-b031959a,https://doi.org/10.1038/s41597-023-02549-6
CC-b86f7d07-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-b86f7d07,https://doi.org/10.1038/s41597-023-02549-6
CC-44857446-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",YT-MAIN-44857446,https://doi.org/10.1038/s41597-023-02549-6
CC-c3105f43-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",YT-MAIN-c3105f43,https://doi.org/10.1038/s41597-023-02549-6
CC-fc6f1a44-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-fc6f1a44,https://doi.org/10.1038/s41597-023-02549-6
CC-e2e67f8f-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",MB-MAIN-e2e67f8f,https://doi.org/10.1038/s41597-023-02549-6
CC-599152a0-1991_2020-historical-1,1991_2020,historical,"Dsb - Cold, dry summer, warm summer",BC-MAIN-599152a0,https://doi.org/10.1038/s41597-023-02549-6
