protected_area_id,land_name,land_type,distance_km,main_id,source_id
19333,Flatwater Pond Provincial Park,Provincial Park,26.216,NL-MAIN-f021107e,https://www.protectedplanet.net
19334,Duley Lake Provincial Park,Provincial Park,22.034,QC-MAIN-084bd95c,https://www.protectedplanet.net
19334,Duley Lake Provincial Park,Provincial Park,15.678,QC-MAIN-089f3c60,https://www.protectedplanet.net
19334,Duley Lake Provincial Park,Provincial Park,34.6,QC-MAIN-ae473a4e,https://www.protectedplanet.net
19334,Duley Lake Provincial Park,Provincial Park,17.176,NL-MAIN-dd723db4,https://www.protectedplanet.net
19334,Duley Lake Provincial Park,Provincial Park,27.171,QC-MAIN-237d67c1,https://www.protectedplanet.net
19334,Duley Lake Provincial Park,Provincial Park,6.274,NL-MAIN-b64bae7a,https://www.protectedplanet.net
19334,Duley Lake Provincial Park,Provincial Park,6.785,NL-MAIN-18695c6d,https://www.protectedplanet.net
19411,Libau Bog Ecological Reserve,Ecological Reserve,25.907,MB-MAIN-0d5c2cae,https://www.protectedplanet.net
19411,Libau Bog Ecological Reserve,Ecological Reserve,25.085,MB-MAIN-b4ca1426,https://www.protectedplanet.net
19418,Beaudry Provincial Park,Provincial Park,49.838,MB-MAIN-0d5c2cae,https://www.protectedplanet.net
19542,Lake Of The Woods Provincial Park (Natural Environment Class),Provincial Park,43.668,ON-MAIN-0aadf28f,https://www.protectedplanet.net
19544,Mississagi River Provincial Park (Waterway Class),Provincial Park,46.221,ON-MAIN-484e4fa3,https://www.protectedplanet.net
19549,Rainbow Falls Provincial Park (Recreational Class),Provincial Park,14.451,ON-MAIN-3c468faa,https://www.protectedplanet.net
19782,Serpent Mounds Provincial Park (Cultural Heritage Class),Provincial Park,30.064,ON-MAIN-237587f6,https://www.protectedplanet.net
19788,Forks Of The Credit Provincial Park (Natural Environment Class),Provincial Park,25.793,ON-MAIN-e928d96a,https://www.protectedplanet.net
19793,La Cloche Provincial Park (Natural Environment Class),Provincial Park,23.964,ON-MAIN-54b7e152,https://www.protectedplanet.net
19793,La Cloche Provincial Park (Natural Environment Class),Provincial Park,48.197,ON-MAIN-28f3f0fc,https://www.protectedplanet.net
19796,Mono Cliffs Provincial Park (Natural Environment Class),Provincial Park,47.421,ON-MAIN-e928d96a,https://www.protectedplanet.net
19797,Short Hills Provincial Park (Natural Environment Class),Provincial Park,46.319,ON-MAIN-4c35e094,https://www.protectedplanet.net
