source_id,source_provenance,source_name
PanAmericanSilverCorp_PAS-2023-Sustainability-Performance-Data-Book,report,PAS-2023-Sustainability-Performance-Data-Book.xlsx
GoldMountainMiningCorp._Q4,report,Q4.24-GMTN-Deck-2
BurgundyDiamondMines_Quarterly-Activities-Report-for-the-Period-ended-September-30th-2024,report,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2024
BurgundyDiamondMines_Quarterly-Activities-Report-for-the-Period-ended-September-30th-2025,report,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2025
BurgundyDiamondMines_Quarterly-Activities-Report-for-the-Period-ended-September-30th-2026,report,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2026
BurgundyDiamondMines_Quarterly-Activities-Report-for-the-Period-ended-September-30th-2027,report,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2027
HeclaMiningCompany_RR-tables-12-31-2024,report,RR-tables-12-31-2024
CanadianRoyaltiesInc._Rapport_Objectif_Emissions_GES_2023_EN,report,Rapport_Objectif_Emissions_GES_2023_EN
ImperialMetalsCorporation_Reserves-Resources_June-2023,report,Reserves-Resources_June-2023
SSRMiningInc_Reserves-and-Resources_2024,report,Reserves-and-Resources_2024
CamecoCorporation_Reserves_2024,report,Reserves_2024
BarrickGoldCorporation_Reserves_2024,report,Reserves_2024
PanAmericanSilverCorp_Reserves_2024,report,Reserves_2024
HudbayMineralsInc_Reserves_2024,report,Reserves_2024.pdf
CenterraGoldInc_Reserves_2024,report,Reserves_2024.pdf
McEwenMiningInc_SEC_2024,report,SEC_2024.pdf
MagrisPerformanceMaterialsInc._SR_2023,report,SR_2023.pdf
IronOreCompanyofCanadaInc_SR_2023,report,SR_2023.pdf
HeclaMiningCompany_SR_2023,report,SR_2023.pdf
MagrisPerformanceMaterials_SR_2023,report,SR_2023.pdf
TacoraResourcesInc._SR_2024,report,SR_2024.pdf
SherrittInternationalCorporationandGeneralNickelCompanyS.A._TR_2023,report,TR_2023.pdf
AbcourtMinesInc_TR_Abcourt_Geant_Dormant_2023,report,TR_Abcourt_Geant_Dormant_2023
ChampionIronLtd_TR_Bloom_Lake_2023,report,TR_Bloom_Lake_2023.pdf
HeclaMiningCompany_TR_Casa_Berardi_2024,report,TR_Casa_Berardi_2024.pdf
HeclaMiningCompany_TR_Keno_Hill_2024,report,TR_Keno_Hill_2024.pdf
TeckResourcesLimited_Teck-Sustainability-Databook,report,Teck-Sustainability-Databook
Vale_Vale'sperformancein1Q25-xls,report,Vale's performance in 1Q25 - xls
ChampionIronLtd_cil-23sr-esg-databookvf,report,cil-23sr-esg-databookvf.xlsx
Vale_nan,report,nan
IronOreCompanyofCanadaInc._nan,report,nan
AlgomaSteelInc._nan,report,nan
AgnicoEagleMinesLimited_operational_data,report,operational_data.xlsx
IAMGOLDCorporation_operational_data,report,operational_data.xlsx
RioTinto_rt-fact-book-addendum,report,rt-fact-book-addendum.xlsx
IronOreCompanyofCanada_rt-fact-book-addendum,report,rt-fact-book-addendum.xlsx
IronOreCompanyofCanadaInc._rt-fact-book-addendum,report,rt-fact-book-addendum.xlsx
https://aluminium.ca/en/the-industry/,website,https://aluminium.ca/en/the-industry/
https://evolutionmining.com.au/reservesresources/,website,https://evolutionmining.com.au/reservesresources/
https://hudbayminerals.com/canada/default.aspx,website,https://hudbayminerals.com/canada/default.aspx
https://iaac-aeic.gc.ca/050/evaluations/proj/80011,website,https://iaac-aeic.gc.ca/050/evaluations/proj/80011
https://magnamining.com/about/mccreedy-west-project/,website,https://magnamining.com/about/mccreedy-west-project/
https://minfile.gov.bc.ca/summary.aspx?minfilno=092ISW012,website,https://minfile.gov.bc.ca/summary.aspx?minfilno=092ISW012
https://mrnf.gouv.qc.ca/en/mines/publications/quantity-mine-mouth-output-value-and-duties-paid-by-mining-companies/,website,https://mrnf.gouv.qc.ca/en/mines/publications/quantity-mine-mouth-output-value-and-duties-paid-by-mining-companies/
https://tasekomines.com/properties/gibraltar/reserves-and-resources,website,https://tasekomines.com/properties/gibraltar/reserves-and-resources
