carbon_stock_ecosystems_id,pool,variable,unit,value,main_id,facility_group_id,source_id
carbon_stock-3ef4f421-6,bgbc,mean_prim,tC/ha,23.0,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-7,soc,area_ha,ha,48.73122,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-8,soc,mean_act,tC/ha,88.0,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-9,soc,mean_prim,tC/ha,93.0,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3f490561-1,agbc,area_ha,ha,52.21574,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-2,agbc,mean_act,tC/ha,26.0,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-3,agbc,mean_prim,tC/ha,65.0,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-4,bgbc,area_ha,ha,52.21574,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-5,bgbc,mean_act,tC/ha,10.0,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-6,bgbc,mean_prim,tC/ha,15.0,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-7,soc,area_ha,ha,52.21574,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-8,soc,mean_act,tC/ha,61.0,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-3f490561-9,soc,mean_prim,tC/ha,62.0,BC-MAIN-3f490561,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-1,agbc,area_ha,ha,55.359085,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-2,agbc,mean_act,tC/ha,21.0,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-3,agbc,mean_prim,tC/ha,57.0,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-4,bgbc,area_ha,ha,55.359085,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-5,bgbc,mean_act,tC/ha,5.0,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-6,bgbc,mean_prim,tC/ha,15.0,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-7,soc,area_ha,ha,55.359085,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4724f4ba-8,soc,mean_act,tC/ha,48.0,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
